Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
Kalathur Gramam,Tamil,136,2017,13+,Movie,Amazon Prime,tt7059784,"Action,Drama",6.3
Heaven and Earth,English,141,1994,18+,Movie,Amazon Prime,tt0111423,"Action,Crime,Drama",6.0
2014 Rajkaran,Marathi,115,2011,All,Movie,Amazon Prime,tt7287002,Drama,6.4
Bombay,Tamil,140,1995,All,Movie,Amazon Prime,tt0112553,"Drama,Romance",8.1
Laboratory,Bengali,95,2018,13+,Movie,Amazon Prime,tt11058056,Drama,5.4
Jab Tum Kaho,Hindi,92,2016,13+,Movie,Amazon Prime,tt5370502,Drama,6.0
Prem Tapasya,Hindi,137,1983,NR,Movie,Amazon Prime,tt0262703,"Drama,Romance",6.1
Sabse Bada Rupaiya,Hindi,135,1976,All,Movie,Amazon Prime,tt0420139,Comedy,6.8
Seethakoka Chilaka,Telugu,147,1981,All,Movie,Amazon Prime,tt0156059,"Musical,Romance",7.7
Operation Diamond Racket,Kannada,165,1978,NR,Movie,Amazon Prime,tt1418205,"Action,Comedy,Mystery",7.3
Eklavya: The Royal Guard,Hindi,107,2007,All,Movie,Amazon Prime,tt0459605,"Action,Drama,Mystery",6.1
1920: Evil Returns,Hindi,119,2012,18+,Movie,Amazon Prime,tt2222550,"Drama,Horror,Romance",4.9
Gravity,Hindi,90,2013,13+,Movie,Amazon Prime,tt1454468,"Adventure,Drama,Sci-Fi",7.7
Saaya,Tamil,134,2017,All,Movie,Amazon Prime,tt6937646,"Horror,Thriller",3.1
Mission: Impossible II,English,123,2000,16+,Movie,Amazon Prime,tt0120755,"Action,Adventure,Thriller",6.1
Kroadh,Hindi,146,1990,18+,Movie,Amazon Prime,tt0099953,"Action,Crime,Drama",5.1
Blackia,Punjabi,141,2019,13+,Movie,Amazon Prime,tt9614416,Drama,6.3
Halla Bol,Hindi,142,2008,13+,Movie,Amazon Prime,tt0892874,"Crime,Drama",6.1
Bad Ass 2: Bad Asses,English,90,2014,18+,Movie,Amazon Prime,tt2996648,"Action,Comedy,Drama",5.6
Aamne Samne,Hindi,132,1982,All,Movie,Amazon Prime,tt0451614,"Action,Crime,Drama",6.3
Underworld,English,121,2003,18+,Movie,Amazon Prime,tt0320691,"Action,Fantasy,Thriller",7.0
Dheena,Malayalam,158,2001,NR,Movie,Amazon Prime,tt0807944,"Action,Drama",7.1
Munde Patiale De,Punjabi,104,2012,13+,Movie,Amazon Prime,tt5002868,Comedy,4.8
Asura,Telugu,124,2015,16+,Movie,Amazon Prime,tt4786606,"Action,Drama",6.4
Journey's End,English,107,2017,16+,Movie,Amazon Prime,tt3780500,"Drama,War",6.7
Laal Kaptaan,Hindi,152,2019,18+,Movie,Amazon Prime,tt9052960,"Action,Adventure,Drama",7.3
Ishk Actually,Hindi,103,2013,NR,Movie,Amazon Prime,tt2706340,Romance,2.7
Ujda Chaman,Hindi,115,2019,13+,Movie,Amazon Prime,tt11046300,Comedy,6.9
Trunk,Kannada,138,2018,NR,Movie,Amazon Prime,tt8364446,Horror,4.2
Dhund,Hindi,117,1973,All,Movie,Amazon Prime,tt0158587,"Drama,Mystery,Thriller",7.3
Sradha,Malayalam,136,2000,NR,Movie,Amazon Prime,tt0274103,"Crime,Thriller",3.7
The Fountain,English,96,2006,13+,Movie,Amazon Prime,tt0414993,"Drama,Mystery,Romance",7.2
Ek Bechara,Hindi,109,1972,NR,Movie,Amazon Prime,tt0357627,"Action,Drama",4.7
The Dictator,English,83,2012,18+,Movie,Amazon Prime,tt1645170,Comedy,6.4
Madhu,Tamil,138,2006,All,Movie,Amazon Prime,tt4483434,Romance,3.3
Thrissur Pooram,Malayalam,152,2019,13+,Movie,Amazon Prime,tt10329838,"Action,Drama,Thriller",5.0
Vadhayiyaan Ji Vadhayiyaan,Punjabi,122,2018,13+,Movie,Amazon Prime,tt8221676,Comedy,6.8
Happy Hunting,English,90,2017,18+,Movie,Amazon Prime,tt5189770,"Horror,Western",5.1
Bibaho Obhijaan,Bengali,119,2019,13+,Movie,Amazon Prime,tt9461494,"Comedy,Drama",4.2
The Interview,English,112,2014,16+,Movie,Amazon Prime,tt2788710,"Action,Adventure,Comedy",6.5
Garam Masala,Hindi,109,1972,All,Movie,Amazon Prime,tt0068620,"Action,Comedy,Musical",5.8
Krishna,Tamil,132,1996,13+,Movie,Amazon Prime,tt0135515,"Action,Drama,Romance",4.7
Ayaash,Hindi,133,1982,All,Movie,Amazon Prime,tt0268162,Romance,5.1
Roudram,Malayalam,154,2008,NR,Movie,Amazon Prime,tt1105741,"Action,Crime,Thriller",4.8
The Window,Hindi,118,2018,13+,Movie,Amazon Prime,tt7886854,"Drama,Mystery",7.2
The Wall,English,89,2017,18+,Movie,Amazon Prime,tt4218696,"Action,Drama,Thriller",6.2
Depressive Cop,English,13,2016,NR,Movie,Amazon Prime,tt6737950,Short,5.8
Yamajaathakudu,Telugu,144,1999,NR,Movie,Amazon Prime,tt0484010,"Action,Comedy,Fantasy",4.3
Viswasam,Tamil,150,2019,13+,Movie,Amazon Prime,tt7725626,"Action,Drama",6.6
22G Tussi Ghaint Ho,Punjabi,114,2015,13+,Movie,Amazon Prime,tt5277066,Comedy,5.6
The World's First Time Machine,English,49,2003,7+,Movie,Amazon Prime,tt0867212,"Documentary,Mystery",7.4
24 Kisses,Telugu,122,2018,18+,Movie,Amazon Prime,tt8674418,Romance,4.7
Pankh,Hindi,96,2010,NR,Movie,Amazon Prime,tt1124386,Drama,3.8
Namak Halaal,Hindi,171,1982,All,Movie,Amazon Prime,tt0084385,"Action,Comedy,Drama",7.3
Sankarabharanam,Telugu,144,1980,NR,Movie,Amazon Prime,tt0079889,"Drama,Music,Romance",8.7
Santaan,Hindi,161,1993,All,Movie,Amazon Prime,tt0262747,"Drama,Family",6.0
Jewel,English,90,2001,13+,Movie,Amazon Prime,tt0245182,Drama,6.5
Dhunki,Gujarati,132,2019,All,Movie,Amazon Prime,tt10592506,Drama,7.2
Saamy,Tamil,159,2003,13+,Movie,Amazon Prime,tt0376144,"Action,Drama",7.3
Khakee,Hindi,173,2004,16+,Movie,Amazon Prime,tt0347332,"Action,Crime,Drama",7.4
Kasidre Kailasa,Kannada,147,1971,NR,Movie,Amazon Prime,tt1414504,\N,8.9
Notting Hill,Hindi,123,1999,18+,Movie,Amazon Prime,tt0125439,"Comedy,Drama,Romance",7.1
An Insignificant Man,Hindi,97,2016,NR,Movie,Amazon Prime,tt3917908,"Documentary,Thriller",8.7
Neighbors,English,96,2014,18+,Movie,Amazon Prime,tt2004420,Comedy,6.3
Thikka,Telugu,138,2016,13+,Movie,Amazon Prime,tt6001942,"Action,Comedy",4.4
Golmaal 3,Hindi,139,2010,NR,Movie,Amazon Prime,tt1562859,"Action,Comedy",5.5
Dear Maya,Hindi,130,2017,All,Movie,Amazon Prime,tt6033536,"Drama,Romance",5.8
Parinda,Hindi,154,1989,18+,Movie,Amazon Prime,tt0102636,"Action,Crime,Drama",7.8
Lakshya,Hindi,177,2004,13+,Movie,Amazon Prime,tt0323013,"Action,Drama,Romance",7.9
Annamalai,Tamil,163,1992,All,Movie,Amazon Prime,tt0139859,"Action,Drama",7.7
Ape,English,85,2012,NR,Movie,Amazon Prime,tt2339367,"Comedy,Drama,Fantasy",6.2
Saathiya,Hindi,138,2002,All,Movie,Amazon Prime,tt0330843,"Drama,Family,Romance",6.8
The Kings of Summer,English,94,2013,18+,Movie,Amazon Prime,tt2179116,"Adventure,Comedy,Drama",7.1
Guvva Gorinka,Telugu,117,2020,13+,Movie,Amazon Prime,tt8080982,Romance,5.1
Gurudu,Telugu,127,2013,13+,Movie,Amazon Prime,tt2999712,"Action,Thriller",7.8
Purani Haveli,Hindi,137,1989,18+,Movie,Amazon Prime,tt0260303,Horror,5.3
Mumbai Pune Mumbai 3,Marathi,139,2018,13+,Movie,Amazon Prime,tt7748494,"Family,Musical,Romance",6.4
How to Train Your Dragon 2,Hindi,101,2014,All,Movie,Amazon Prime,tt1646971,"Action,Adventure,Animation",7.8
Kalyanaraman,Tamil,134,1979,All,Movie,Amazon Prime,tt0140304,"Action,Comedy,Drama",6.5
Dongala Mutha,Telugu,89,2011,All,Movie,Amazon Prime,tt1860215,"Action,Crime,Thriller",3.7
Team 5,Malayalam,99,2017,All,Movie,Amazon Prime,tt7160938,"Adventure,Sport",4.2
Chitti Chellelu,Telugu,169,1970,All,Movie,Amazon Prime,tt0263202,Drama,7.4
Darling Darling,Malayalam,155,2000,NR,Movie,Amazon Prime,tt0430989,Romance,6.0
Whiskey Tango Foxtrot,English,111,2016,NR,Movie,Amazon Prime,tt3553442,"Biography,Comedy,Drama",6.6
Nellikka,Malayalam,132,2015,13+,Movie,Amazon Prime,tt4514874,"Musical,Thriller",6.2
Rama Chakkani Seetha,Telugu,121,2019,13+,Movie,Amazon Prime,tt10895780,"Drama,Romance",6.0
Memoirs of an Invisible Man,English,99,1992,16+,Movie,Amazon Prime,tt0104850,"Comedy,Romance,Sci-Fi",6.0
Sakthi,Malayalam,138,1980,NR,Movie,Amazon Prime,tt0334281,"Action,Horror,Thriller",6.5
Punnaram Cholli Cholli,Malayalam,137,1985,NR,Movie,Amazon Prime,tt0255526,Drama,4.7
